Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
c5,e4 e6 d4 d5 Nc3 Bb4 e5,The usual move.,-58,56,114.0,a2a3
Bxd4,e4 e5 Nc3 Nf6 Nf3 Nc6 g3 Bc5 Bg2 d5 exd5 Nxd5 O-O O-O d3 Nxc3 bxc3 Bg4 h3 Bh5 Qe1 f6 Rb1 Rb8 Qe2 Qd6 g4 Bf7 c4 Nd4 Nxd4,"Free pawn, maybe.",-36,29,65.0,"b1b7, b8b7"
Bxe4,d4 e6 Bf4 Nf6 e3 c5 Nc3 a6 Nf3 d5 Bd3 c4 Be2 b5 O-O Bb7 a3 Be7 a4 b4 Na2 O-O b3 c3 Qd3 Nc6 h3 Ne4 Nc1 Bd6 Bxd6 Qxd6 Qd1 Rfe8 Bd3 Rad8 a5 f6 Ra4 Bc8 Re1 e5 dxe5 fxe5,Alternative variation: 23.Ra1 [permetteva di nuovo il tatticismo] Nxf2 [!] 24.Kxf2 e4 25.Bxe4 Rxe4 [/] $19,-278,278,556.0,"d5e4, d1d6, d8d6"
Nd4,e4 e5 d4 exd4 Nf3 Nc6 Bc4 Bc5 c3 Nf6 cxd4 Bb4+ Nc3 Nxe4 O-O Bxc3 d5 Bf6 Re1 Ne7 Rxe4 d6 g4 h6 h4 Kf8 h5 g5,Probabilmente era migliore 15. Ad2 e se 15... Axb2 16. Tb1 Ag7 17. Cd4 con compenso per il materiale sacrificato,37,58,21.0,"c7c6, d5c6"
Be7,e4 c6 Qf3 e6 Nh3 d6 Bc4 d5 exd5 exd5 Bb3 Nf6 d3,"It's kind of odd, as I am now as close to castling and completing my development as my opponent, it feels like their development could have gone faster. Considering the position of the knight and the queen, castling feels like the one justification for the development, but I could be wrong, this specific position is new to me.",117,-106,-223.0,e1g1
Bg5,e4 e5 Nf3 Nc6 c3 Nf6 d3 Bc5 h3 d6 Be2 a6,Pinning the knight to the queen.,20,44,24.0,"h7h6, g5c1, g7g5"
O-O,e4 e5 Nf3 Nc6 Bc4 h6,Alternative variation: 4.d4 [!? mi sembra più incisiva],59,-51,-110.0,"g8f6, d2d4"
Nc7,e4 c6 d4 d5 e5 Bf5 h4 h6 g4 Bh7 e6 f5 gxf5 Nf6 Bd3 Qb6 c3 Na6 Nf3,Centralising the knight.,-342,411,753.0,"a2a4, a7a5, f3e5"
Qc2,d4 Nf6 Bf4 e6 Nd2 c5 e3 Qb6 c3 Qxb2 Ne2 d5 Bxb8 Rxb8 Nb3 c4 Nd2 Bd7 a4 Qb6 g3 Bd6 Bh3 g5 f3 h5 Bg2 e5 O-O exd4 cxd4 g4 f4 h4 Nc3 hxg3 hxg3 Bc6,"Threatens Qf5, but it's not dangerous.",-152,221,373.0,"d6b4, a4a5, b4a5"
d4,Nf3 c5 g3 Nc6 Bg2 e5 e4 Nf6 d3 d5 Nbd2 Be7 O-O O-O Re1,I close the centre. We really do have a King's Indian Reversed now!,28,-31,-59.0,"d2c4, d8c7"
e4,,Normal opening,,-24,,c7c5
Rad1,e4 e5 c3 d6 d4 Nc6 Nf3 f6 Be3 Bg4 Bb5 Nge7 d5 a6 dxc6 axb5 cxb7 Rb8 Nbd2 Rxb7 a4 bxa4 Qxa4+ c6 O-O Rxb2 Rfd1 Bd7 Qa3 Qb8 Nc4 Rb3 Nxd6+ Kd8 Qa5+ Qc7 Nf7+ Kc8 Qa6+ Rb7 Nd6+ Qxd6 Rxd6 Kc7,"No i need his bishop, and too other moves.",1170,-1301,-2471.0,"d7c8, d6d8, e7d5"
e6,e4,Richard nearly always plays the French Defence.,-32,32,64.0,"d2d4, d7d5"
b4,e4 e6 d4 d6 Nf3 c6 c4 Nd7 Nc3 Ne7 Be2 Ng6 g3 h6 Be3 Be7 Qd2 e5 d5 Nf6 Bf1 Ng4 Bg2 O-O O-O f5 Qc1 f4 Bd2 fxg3 fxg3 Nf6 a3 Ng4 Rb1 Qb6+ c5 Qxc5+ Be3 Qxe3+ Qxe3 Nxe3 Rf2 Nxg2 Kxg2 Bg4 Rbf1 Bxf3+ Rf2xf3 Bf6 Rd1 Ne7 dxc6 Nxc6 Rxd6 Nd4 Rf2 Be7 Rd7 Rxf2+ Kxf2 Rf8+ Kg2 Bc5 Rxb7 Nc2 Nd1 Rd8 Rc7 Rxd1 Rxc5 Rd2+ Kh3 Ne3 Rxe5 Nf1,"I took one, and protect one instead of the h2 pawn.",-405,426,831.0,"d2h2, h3g4, h2f2"
Kd3,e4 e5 f4 Bc5 Nf3 d6 c3 Nf6 d4 exd4 cxd4 Bb6 Nc3 d5 e5 Ne4 Bd3 Nc6 Be3 Bg4 Nxe4 dxe4 Bxe4 Nxd4 Bxd4 Bxf3 Bxf3 Qxd4 Qxd4 Bxd4 O-O-O O-O-O g3 c5 Kc2 h5 Rhe1 Rh6 Re2 Rb6 b3 g6 Red2 a5 Be2 a4 Bc4 axb3+ axb3 Rf8,this gives me the chance to vacate with my king from the area,43,-29,-72.0,"c8d8, d2e2, f7f6"
g5,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 e5 h6 Be3 Ne4 Qg4,Il nero ama i rimedi drastici e gioca col fuoco. 7...g6 o 7...Rf8 sono i seguiti normali,-25,73,98.0,"h2h4, c7c5"
Nbd2,d4 Nf6 Bf4 c5 e3 Nd5 Bg3 Qb6 Qc1 cxd4 exd4 Qxd4 Nf3 Qe4+ Be2 b6,White regains the tempo lost and is ahead of development. I believe with correct play White should have an opening advantage over Black. 9.c4 doesn't work for White as Black has Nb4 threatening a fork check on d3. White can't castle because the Be2 is hanging.,179,-170,-349.0,"e4g6, f3e5, g6e6"
Qd2,e4 e5 Bc4 Nc6 Nf3 Nf6 Nc3 Bb4 d4 Bxc3+ bxc3 Nxe4 Nxe5 Nxe5 dxe5 d6 Qd3 Nc5 Qe2 dxe5 Qxe5+ Ne6 Bxe6 Bxe6 O-O O-O Ba3 Re8 Qg3,Attack the pawn.,58,-17,-75.0,"g3c7, b7b6, a3c1"
Ne5,e4 e6 d4 d6 Nc3 b6 f4 Bb7 Nf3 g6 Bd3 Bg7 Be3 Nf6 Qd2 Ng4 O-O Nxe3 Qxe3 O-O f5 exf5 exf5 Re8 Qf4 Qf6 Rfe1 Nd7 Ne4 Qd8 Neg5 Qf6 Bc4 d5 Bd3 c5,Threatens Nxd7and Ngxf7. The best response is Re7 but black is now under a minute on the clock.,151,243,92.0,"d7e5, g5h7, e5f3"
bxc5,d4 b6 c4 Bb7 Nc3 e6 a3 Nf6 d5 d6 Nf3 Be7 g3 O-O Bg2 Nbd7 O-O Nc5 Nd4 Qd7 b4 e5,!,475,-490,-965.0,"e5d4, c5c6, d4c3"
Nc6,c4 e5 Nc3,Reverse sicillian on the board.,-5,31,36.0,"g2g3, g8f6, f1g2"
O-O,d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O Nf3 d6 Be2 e5,White can advance the d pawn (Petrosian variation) and take the e-pawn (exchange variation). These moves leads to different pawn structure and black must be careful with the center driving. The castle is the usual move and it s the most flexible!,66,-61,-127.0,"b8c6, d4d5"
Nxd3,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Bd3 d5 e5 Ng4 Qe2 Bc5 O-O Qe7 Nc3 Nxe5 Bf4 f6 Na4 Bg4 Qe1 Bb4 Nc3,"Forcing a weakness in White's hitherto pristine pawn structure. Black could equally well have castled, or brought a rook to the b-file, here. Of course, Black does right to maintain the pin: 14...Bxc3? 15.Qxc3 ... and the attack on e5 and c6 ensures the recovery of the lost pawn, and to White a fine game.",172,-135,-307.0,"c2d3, e7e1"
Ne7,d4 d5 c4 c5 e3 e6 cxd5 exd5 a3 cxd4 exd4 a5 Qe2+,Safe,-18,46,64.0,"b1c3, a8a6"
Rd1,d4 d5 e3 e6 Nf3 Nf6 Nc3 b6 Bb5+ c6 Bd3 Ng4 Ne5 h5 Nxg4 hxg4 Qxg4 f5 Qe2 Qg5 g3 e5 dxe5 Bc5 e4 Qg6 exf5 Qh7 f6 Qh3 Bg6+ Kd8 fxg7 Rg8 Bg5+ Kc7 Bf6 Qg2 Rf1 Ba6 Bd3 Bc4 Bxc4 dxc4 Qxc4 Nd7 b4 Bxb4 Qxb4 a5 Qd6+ Kc8 f3 Nc5 Qxc6+ Kb8 Qxb6+ Nb7 O-O-O a4 Rd8+ Rxd8 Bxd8 Ra5 Qc7+ Ka8,Moving the rook to prevent Qxf1+.,1097,Mate,,"g2f3, g7g8q, f3e3"
Nc3,e4 e6 d4 d5,I continue with the most popular move.,41,-47,-88.0,"g8f6, e4e5, f6d7"
Qxg5,Nf3 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 Qa4+ Bd7 Qh4 Nb6 d4 Bg7 Bh6 Bf6 Qg3 e6 e3 Bc6 Bb5 a6 Bxc6+ Nxc6 a3 Qd7 Rd1 O-O-O O-O Nd5 Nxd5 Qxd5 Bg5 Bxg5,18. Qxg5 - bishop trade.,20,-23,-43.0,h7h6
Qg5,e4 e5 Nc3 Nf6 Bc4 Bc5 d3 d6 Qf3 Bg4 Qg3 Nh5 Qxg4 Nf6,Likes Moving that queen,721,-546,-1267.0,"e8g8, g1f3, d6d5"
Rd1+,e3 d5 Qf3 Nf6 Bb5+ c6 Ba4 Bg4 Qf4 g6 h3 Bf5 Nc3 Bg7 Nf3 Nbd7 Ne5 Nxe5 Qxe5 O-O O-O Qd6 d4 b5 Bb3 a5 f3 a4 Bd2 axb3 cxb3 Nd7 Qxd6 exd6 g4 Bd3 Rfe1 b4 Na4 c5 Rec1 Rfc8 dxc5 dxc5 Rce1 Rab8 e4 Nb6 Re3 Nxa4 bxa4 Bxb2 Rae1 Bd4 h4 Bxe3+ Rxe3 Bc4 exd5 Bxd5 f4 Bxa2 a5 Rcd8 Bc1,Oof!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,834,-839,-1673.0,"g1f2, d1c1, f4f5"
Bc4,e4 e5 Nf3 Nc6 d4 f6 d5 Nce7 d6 cxd6 Qxd6 a6 Be3 Nc6 Qd3 Nb4 Qc3 a5 a3 Nc6,Developing and aiming at the open a1-g8 diagonal and increasing the control on the center - Black has 7 pieces in their garage against 4 for white.,240,-259,-499.0,"f8b4, a3b4, a5b4"
Bb5,e4 c5 Nf3 Nc6,Black to play.,31,-28,-59.0,"g7g6, e1g1"
Na4,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 Na6 O-O e5 dxe5 dxe5 Qxd8 Rxd8 Bg5 Re8 Rad1 Bg4 h3 Bxf3 Bxf3 h6 Bxf6 Bxf6,to avoid Nc5,-19,21,40.0,e8d8
Qxb3,d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O Bg2 c6 O-O d5 Qb3 Qb6 Nc3,So I take,-5,26,31.0,"a2b3, c8e6, f3g5"
Bg7,Nf3 d5 d4 Nc6 c4 e6 Nc3 Nf6 Bg5 h6 Bxf6 Qxf6 cxd5 exd5 Nxd5 Qd6 Nc3 Bg4 e3 O-O-O Be2 a6 O-O f6 d5 Nb4 e4 g5 a3 Nxd5 exd5 h5 Nd4 Bxe2 Qxe2,"White has a variety of good moves here, including 19. Qc2, 19. Ne6, and 19. Rfe1. Also good is ...",-523,545,1068.0,"e2e6, d6e6, d4e6"
e4,d4 Nf6 c4 e5 d5 Bc5 Nf3 d6 Nc3 O-O,Two thumbs down.,-24,248,272.0,"f6g4, c1e3, g4e3"
Nb3,e4 d5 e5 Nc6 d4 Bf5 Bd2 Nxd4 Bf4 Nxc2+ Ke2 e6 Nd2 d4 f3 d3+ Kf2 Bc5+ Kg3 Qd4 Nh3 h5,White is now lost,Mate,Mate,,h5h4
cxd5,d4 Nf6 c4 e6 Nf3 c5 d5 exd5,5. cxd5 - pawn trade.,89,-76,-165.0,d7d6
Bf4,d4 Nf6 Nf3 g6 Nc3 d5,His bishop comes out.,10,-13,-23.0,"f8g7, e2e3"
dxc3,e4 c5 d4 cxd4 c3,I accept.,32,-34,-66.0,"b1c3, b8c6, g1f3"
Nc4,c4 e5 a3 Nf6 e3 c6 Nf3 e4 Nd4 d5 cxd5 cxd5 d3 Bc5 dxe4 dxe4 Be2 O-O O-O Qe7 b4 Bxd4 exd4 Rd8 Be3 Nc6 b5 Na5 Qc2 Be6 Nd2 Rac8 Qa4 b6 Qb4 Qb7 Rfc1 Nd5 Qb2 Qe7 Rxc8 Rxc8 Rc1 Rxc1+ Qxc1 f5 g3 g5 Nc4 f4 Nxa5 fxe3,Alternative variation: 27.Nc6 exf2+ 28.Kxf2 Qf6+ 29.Kg1 Kg7 30.Qf1 [=],3,0,-3.0,"e3f2, g1f2, e7f6"
Bc4,e4 c5 c4 e6 Bd3 d6 Ne2 Bd7 b3 Be7 Nbc3 Bc6 Ba3 b6 Qc2 Bf6 Rb1 e5 b4 Be7 bxc5 b5 cxb5 Bb7 c6 Bxc6,"(?) Losing the plot. 14.bxc6 simply won the piece at the cost of two pawns - but more than that, it would have kicked off a tremendous attack: 14.bxc6 Nxc6 15.Bb5 ... (a lethal pin!) 15...Rc8 (The knight can not move, so needs protection) 16.Nd5 Qd7 17.Rc1 ... Stacks on the Mill (remember that game as a kid?) White has now 3 pieces attacking the pinned knight, and Black can find just two defenders. So the knight would have fetched up in White's pocket.",754,-408,-1162.0,"c6b7, c4d5, d8c7"
Bxe4,e4 e5 Nc3 c6 d4 exd4 Qxd4 Qe7 Nf3 d5 Bd3 Bf5 O-O dxe4,"This is the other mistake in the game. The machine wants me to take with the knight, maybe just to preserve the bishop pair. It could also be that by taking with the knight the bishop is forced to take because it can't really go to e6 with Ng5 coming and forcing black to lose tempo to preserve it or try to develop anyway with everything in the way. I thought Bxe4 would be the move that would most tempt black to take as it threatens the bishop and Bxe5 when takes a bishop. My plan since O-O was to make development as difficult as possible for black (and if possible, take everything that managed to escape).",396,-278,-674.0,"f5e6, f1e1, e7c5"
Qxg5,e4 e5 Nf3 f6 Nxe5 fxe5 Qh5+ Ke7 Qxe5+ Kf7 Bc4+ Kg6 Qf5+ Kh6 d4+ g5 Bxg5+,Black takes back.,-398,394,792.0,"f5f8, g5g7, f8c8"
Qf2,c3 d5 f4 e6 Qa4+ Bd7 Qd4 Nf6 Nf3 Nc6 Qd3 Bd6 g3 Ne4 b4 O-O h3 Nxg3 Rg1 Ne4 Qe3 Qf6 h4 Bxf4 Qd3 Bg3+ Kd1 Nf2+ Kc2 Nxd3 exd3 Qxf3 Bg2,"White made several blunders in this game. Most notably, moving the Queen out too early and then losing her, and also the bishop and knight on the other side of the board (c and b) just didn't ever get used, and the pawns kept blocking them from getting out. Rather than being able to focus on making a good setup position, White was instead forced to flee from my attacks.",1148,-1155,-2303.0,"b4b5, f2g1, h4h5"
Qxa7+,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6 c4 Bc5 Be2 Qh4 O-O Qxe4 Nc3 Qh4 g3 Qe7 Ne4 h6 Be3 Bb6 Nd6+ Kd8 c5 Bc7 Bc4 Bxd6 cxd6 Qf6 f4 e4 Qe2 Qf5 Bd4 f6 Qe3 Rb8 Bxa7 Rxb2 Bf7 Qa5 Qxe4,"Of Pe7, maar dat ziet er ook niet mooi uit.",Mate,Mate,,"g1h1, b2h2, h1h2"
cxd4,e4 c5 f4 d6 d4,This to me at this time in my entire life is a mistake and I have to figure out why so I start trying to work through my next move and which one seems the best.,17,-19,-36.0,"d1d4, b8c6, d4d2"
Bd3,e4 c5 Nc3 Nc6 a3 d6 Nf3 Nf6 Bc4 e6 d4 cxd4 Nxd4 Be7 O-O Bd7 b4 O-O Nxc6 Bxc6,"But White prefers to defend the pawn with the bishop, hence this is no longer aiming at my king. I got the impression here that black centre is stronger than the white one (see cases d5 and e5).",-2,13,15.0,"a7a6, c1b2"
h6,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 O-O d6 h3,I wanted to play 7 ... g5 and prevents the Bg5 pìn.,10,-9,-19.0,"c4b5, a7a6, b5c6"
Qe2,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Nxc6 bxc6 Bd3 d5 e5 Ng4,"Castling is more usual here, the e-pawn being inviolate on account of the pin: 8.0-0 Nxe5?? 9.Re1. But against castling, 8...Bc5 is a fine response. The text, however, has been tried at Master level...",-47,81,128.0,"f8c5, e1g1"
b5,e4 c6 d4 d5 exd5 cxd5 Nf3 Bf5 Bd3 Bxd3 Qxd3 a6 O-O e6 a3 Bd6 Re1 Nd7 Be3 Ne7 Nbd2 h6 Nb3 Rc8 Rac1,!,41,-2,-43.0,"b3c5, d6c5"
g6,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Qxd7 O-O Nc6 d4 cxd4 Nxd4 Nf6 Nc3,"Also to be considered was 8...e6. Black is playing a kind of Dragon Defence. That seems to be a very reasonable approach, as the absence of his king's bishop obviates any kind of Porcupine Attack from White.",0,20,20.0,d4c6
Nxe3,e4 c6 d4 d5 Nc3 dxe4 Nxe4 Bf5 Ng3 Bg6 Nf3 h6 Be3 Nf6 h3 Nbd7 Bd3 Bxd3 Qxd3 e6 O-O Be7 c4 O-O a3 Qc7 b4 b5 c5 Nd5 Rac1 Nd7f6 Ne5 a5 Rca1 axb4 Ng6 fxg6 Qxg6,good move. prevents Bxh6.,507,-504,-1011.0,"f2e3, b4a3, g3e2"
Nh6,f4 d5 Nf3 g6 e3 Bg7 Be2 Nc6 d4,"With a plan of f7-f6, Nf7 and e7-e5 in due course, but it is far too slow and white can always hit the black centre with c2-c4. Simply Nf6 is better.",-15,20,35.0,"b1c3, c8g4"
Nf6,d4 d5 c4 dxc4 Nf3,So I'm doing the same.,-27,28,55.0,"e2e3, e7e6, f1c4"
d6,Nc3 e5 e3 Bc5 Ne4 Ne7 Ng5 h6 Ng5f3 O-O c3,Pawn,125,-5,-130.0,a2a4
exd6,e4 c5 Nf3 Nc6 Bb5 e6 Bxc6 bxc6 d3 Ne7 h4 h5 e5 d6,The game would be equal after 8... Nf5 9. Na3 Bxd6 10. b3 e5 11. Nc4 Be6.,26,-27,-53.0,"e7f5, b1c3, f8d6"
O-O,g3 d5 Bg2 c6 d4 h6 Bf4 Nd7 Nc3 e6 Nf3 Bb4 Qd2 Qa5 a3 Ngf6,Done for Kings safety and and so I can take his b4 bishop now.,11,-5,-16.0,b4c3
Bf3,e4 c5 f4 Nc6 d3 d5 e5 Nh6 Ne2 e6 Ng3 Be7 c3 O-O Be3 d4 Bf2 f6 exf6 Bxf6 c4 e5 fxe5 Bxe5 Be2 Bxg3 Bxg3 Qe7 Nd2 Ng4 Ne4 Ne3 Qd2 Bf5 Bd6 Qh4+ g3 Qh3 Bf3 Rfe8 Bf4 Nxc4 Qg2 Qxg2 Bxg2 Nxb2 O-O Nxd3 Nd6 Ref8 Nxb7 Nxf4 Rxf4 Ne7 Nxc5 Rac8 Nb3 d3 Nd4 d2 Rd1 Rc1,?? White should have done Rf1 Bd3 Rxc1 Rxf1 Rxf1 Bxf1 Bf3 to block the promotion.,-219,512,731.0,"g7g5, d4f5, e7f5"
Qd3,e4 e5 Nf3 d6 d4 exd4 Nxd4 h6 Be2 Nf6 Nc3 Be7 Bf4 O-O,Giving himself options. I would have 0-0 instead.,111,-94,-205.0,"b8c6, e1c1, f6g4"
Qc2,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 e5 Nxc6 bxc6 c4 Be7 Bd3 Nf6 O-O O-O Nc3 Rb8,White's time remaining: 1hr 54 min,9,23,14.0,"e7c5, a2a3"
Nd7,Nf3 c5 g3 Nc6 Bg2 e5 e4 Nf6 d3 d5 Nbd2 Be7 O-O O-O Re1 d4 a4 b6 Nc4,Protecting e4 again and blocking any ideas he may have had about Nf3-h4-f5,20,-24,-44.0,"e1f1, a7a6, g2h3"
Qxd6,e4 e5 Nc3 c6 d4 exd4 Qxd4 Qe7 Nf3 d5 Bd3 Bf5 O-O dxe4 Bxe4 Bxe4 Nxe4 Nd7 Re1 Kd8 a3 Qe8 Nd6 Qxe1+ Nxe1 Bxd6,Now the bishop defends the rook so we have to settle for the minor piece and a very uncomfortable position for black.,695,-700,-1395.0,"g8f6, c1f4, f6d5"
Be6,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Bd4 e5 Bc5 Re8 Bc4 Qa5 Ne4 Qc7 Qf2 Rd8 Kb1,Planning a discovered attack on the Bc4.,-8,76,84.0,"g2g4, h7h6"
c4,d4 c5 Nf3 d5,Going into the symmetrical (Austrian) variation of the Queen's Gambit.,34,-32,-66.0,"e7e6, c4d5, e6d5"
Bg5,d4 d5 c4 e6 Nc3 Bb4 Qa4+ Nc6 Nf3 Nf6,"White pins the Nf6, as is common in many variations of the Queen's Gambit Declined - less in this one however, with 6. e3 being a more popular move.",8,31,23.0,"d5c4, e2e3"
dxe5,e4 e5 Nf3 d6 d4 f6 dxe5,Interesting way to capture.,-26,30,56.0,"f1d3, c8e6"
Rb7,d4 b6 c4 Bb7 Nc3 e6 a3 Nf6 d5 d6 Nf3 Be7 g3 O-O Bg2 Nbd7 O-O Nc5 Nd4 Qd7 b4 e5 bxc5 bxc5 Nc6 Bxc6 dxc6 Qg4 Nd5 Nxd5 Bxd5 Kh8 e4 Qh3 Qf3 Bf6 Rb1 Qc8,Time remaining: 33,612,-629,-1241.0,"a8b8, c1e3, b8b7"
a6,Nf3 Nf6 c4 e6 Nc3 d5 d4 c5 cxd5 Nxd5 e4 Nxc3 bxc3 cxd4 cxd4 Nc6 Bc4 b5 Be2,Dubbia. Il seguito più usato è ancora 10... Ab4+,-73,78,151.0,"e1g1, f8d6, a2a4"
Be6,e4 e5 Nf3 Nf6 Nc3 Nc6 d4 exd4 Nxd4 Bb4 Nxc6 bxc6 Bg5 h6 Bxf6 Qxf6 Qd2 O-O a3 Ba5 Bc4 d5 Bd3 d4 b4 dxc3 Qe2 Bb6 O-O,Completing my developing.,473,-480,-953.0,"g1h1, f6f4, a1d1"
dxe5,e4 e5 Bc4 Nc6 Nf3 Nf6 Nc3 Bb4 d4 Bxc3+ bxc3 Nxe4 Nxe5 Nxe5,Trades every thing of.,91,-99,-190.0,d8e7
O-O,e4 e6 d4 d5 exd5 exd5 Nf3 Nc6 Bb5 Bd6 c4 dxc4 d5 a6 Ba4 b5 dxc6 bxa4 O-O Ne7 Nbd2 Be6 Qxa4 c3 Ne4,"Here, I expected my opponent to capture on b2, but he decides to complete his development at the cost of a pawn.",3,38,35.0,"e4c3, a8b8"
Bg6+,e4 c5 Nf3 e6 d4 cxd4 Nxd4 a6 Bd3 Nf6 O-O h6 e5 Nd5 Re1 Nc6 Nxc6 dxc6 c4 Nb4 Be4 a5 Qf3 Qc7 Nc3 c5 Nb5 Qb6 Rd1 Nc6 Be3 Nxe5 Qg3 f6,"I actually wonder if Bf4 isn't better but there are too many lines to analyse when it seems as though Bg6+ gets the job done, less elegantly but with less possibilites Win easier/uglier lines sometimes - would be better if I could only focus on this game, not 3 games 18. Bg6+ Nxg6* 19. Qxg6+ Ke7 20. Bf4 e5 21. Bxe5 Bf5 22. Bd6+ Qxd6 23. Re1+ Qe6 24. Qxf5 Qxe1+ *If 18....Ke7, then 19 Bf4 & transpose...",710,-761,-1471.0,"e8e7, e3f4, e5f7"
Bxe3,e4 e5 Nc3 Nf6 Nf3 Nc6 g3 Bc5 Bg2 d5 exd5 Nxd5 O-O O-O d3 Nxc3 bxc3 Bg4 h3 Bh5 Qe1 f6 Rb1 Rb8 Qe2 Qd6 g4 Bf7 c4 Nd4 Nxd4 Bxd4 Bxb7 Qd7 Be3,The bishop trade exposes the undefended a pawns.,179,91,-88.0,e2e3
a4,d4 d5 c4 e6 Nf3 a6 Nc3 h6 e3 c6 b3 h5 h4 a5,Same,122,-74,-196.0,g8f6
Bc4,e4 c5 Nf3 d6,"Opp plays classic Bishop to C4, maybe in the hope he can play next, Knight to G5.",42,2,-40.0,"g8f6, b1c3"
f5+,e4 c5 Bc4 e6 Nf3 a6 c3 d5 exd5 exd5 Bb3 Nc6 O-O Be7 Re1 Nf6 h3 O-O a4 h6 Bc2 b5 axb5 Na7 bxa6 Nc6 d4 c4 Nbd2 Bxa6 Nf1 Re8 Ne5 Qd6 f4 h5 Ng3 Ne4 Nf5 Qf6 Nxe7+ Rxe7 Bxe4 dxe4 Rxe4 Bb7 Rxa8+ Bxa8 Re1 Nxe5 Rxe5 Rxe5 dxe5 Qg6 Qd8+ Kh7 Qxa8 Qb1 Kh2 Qxc1 Qe4+ g6 Qxc4 Qxb2 Qxf7+ Kh6 e6 Qxc3 e7 h4 Qxg6+ Kxg6 e8=Q+ Kh6 Qe6+ Kg7 Qg4+ Kf6 Qxh4+ Kf5 Qg4+ Ke4,,805,-869,-1674.0,"e4d5, g4f3, c3f3"
g5,e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 exd6 h3 Bf5 Nf3 Be7 Nc3 O-O Be2 Bf6 O-O Re8 Be3 Nc6 b3 Bg6 Rc1 Ne7 g4 h6 h4 Nc6,"I thought perhaps h5 could have been better, but this is also intimidating, a no-holds-barred attack.",53,0,-53.0,"h6g5, h4g5, e8e3"
Bh5,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 O-O Be2 Na6 O-O e5 dxe5 dxe5 Qxd8 Rxd8 Bg5 Re8 Rad1 Bg4 h3 Bxf3 Bxf3 h6 Bxf6 Bxf6 Na4 Rad8 Rxd8 Rxd8 Rd1 c6 a3 b5 cxb5 cxb5 Rxd8+ Bxd8 Nc3 b4 axb4 Nxb4 b3 Bb6 Be2 Kf8 Kf1 Ke7 Nd5+ Nxd5 exd5 Kd6 Bc4 f5 Ke2 e4 f3 Ke5 fxe4 fxe4 Kf1 Kf4 d6 Ke3 Bf7 g5 Bh5 Kd4 Bf7 Ke5 Bg6 e3 d7 Kf4,"my opponent asks for draw. his goal is to put the king on h1 or g4 and play e2+ to win f2 pawn but my plan is to play Bf3 to play my K on e2, then promote my pawn to take e3. the game lasted 3h20 !!!",0,0,0.0,"f4e4, f1e2, b6c7"
O-O,d4 d5 c4 dxc4 e3 e5 Bxc4 exd4 exd4 Bd6 Nc3 Nf6 Nf3 O-O,Castles,22,-21,-43.0,"b8c6, c1g5"
c6,e4 c5 c4 e6 Bd3 d6 Ne2 Bd7 b3 Be7 Nbc3 Bc6 Ba3 b6 Qc2 Bf6 Rb1 e5 b4 Be7 bxc5 b5 cxb5 Bb7,still on course. Will Black be forced to 'undevelop' his queen's bishop?,587,-577,-1164.0,"b8c6, b5c6, b7c6"
Qxb3+,e4 e5 Nf3 Nc6 Bb5 d6 Nc3 Nf6 Nd5 Bg4 d3 h6 h3 Bh5 g4 Bg6 Nh4 Bh7 Nf5 Bxf5 gxf5 Qd7 Nxf6+ gxf6 Rg1 a6 Ba4 O-O-O Qh5 Kb8 Be3 d5 O-O-O d4 Bd2 Bc5 Rg7 Rdf8 Rdg1 Qe7 Bxc6 bxc6 Qf3 Ka7 Rg1g4 Rfb8 b3 Ba3+ Kb1 Bb4 Bc1 a5 Qe2 Bc3 Bb2 a4 Bxc3 dxc3 Qe1 Qb4 Rxf7 Rb7 Rxf6 Rb6 Rg7 Kb7 Rff7 Rc8 Qc1 Rb5 Qxh6 Qa3 Qc1 Qb4 h4 Qd6 h5 Ra5 h6 Raa8 h7 c5 Rfd7 Qc6 Qa3 axb3,"Now this is where I was doing a lot of calculations. I anticipated K-a7, which would have precipitated a mass swap off with q-a3, then taking the a rook. I worked out it took queen and rooks off and left me with the h pawn.",595,-585,-1180.0,"c6b6, g7g6, b6b4"
